y	i	t	d
105	TIA	P	3
99	TIA	P	3
110	TIA	P	3
109	TIA	P	1.5
115	TIA	P	1.5
123	TIA	P	1.5
248	TIA	P	0.75
250	TIA	P	0.75
227	TIA	P	0.75
156	TIA	P	0.375
140	TIA	P	0.375
160	TIA	P	0.375
139	TIA	P	0.1875
146	TIA	P	0.1875
134	TIA	P	0.1875
123	TIA	P	0.09375
133	TIA	P	0.09375
128	TIA	P	0.09375
133	TIA	P	0.046875
132	TIA	P	0.046875
129	TIA	P	0.046875
153	TIA	P	0.0234375
149	TIA	P	0.0234375
273	TIA	P	0.0234375
117	TIA	P	0.01171875
124	TIA	P	0.01171875
102	TIA	P	0.01171875
113	TIA	P	0.005859375
113	TIA	P	0.005859375
123	TIA	P	0.005859375
96	TIA	P	0.002929688
111	TIA	P	0.002929688
139	TIA	P	0.002929688
122	TIA	P	0
131	TIA	P	0
144	TIA	P	0
141	TIA	P	0
141	TIA	P	0
111	TIA	P	0
105	TIA	P	0
103	TIA	P	0
56	TIA	N	3
89	TIA	N	3
87	TIA	N	1.5
86	TIA	N	1.5
294	TIA	N	0.75
212	TIA	N	0.75
249	TIA	N	0.75
127	TIA	N	0.375
152	TIA	N	0.375
138	TIA	N	0.375
142	TIA	N	0.1875
150	TIA	N	0.1875
142	TIA	N	0.1875
135	TIA	N	0.09375
161	TIA	N	0.09375
158	TIA	N	0.09375
197	TIA	N	0.046875
164	TIA	N	0.046875
173	TIA	N	0.046875
154	TIA	N	0.0234375
149	TIA	N	0.0234375
140	TIA	N	0.0234375
75	TIA	N	0.01171875
41	TIA	N	0.01171875
64	TIA	N	0.005859375
62	TIA	N	0.005859375
42	TIA	N	0.002929688
84	TIA	N	0.002929688
83	TIA	N	0
134	TIA	N	0
143	TIA	N	0
135	TIA	N	0
148	TIA	N	0
79	TIA	N	0
71	TIA	N	0
756	FIP	P	250
1430	FIP	P	250
1020	FIP	P	250
1040	FIP	P	125
960	FIP	P	125
138	FIP	P	25
140	FIP	P	25
144	FIP	P	25
162	FIP	P	2.5
145	FIP	P	2.5
153	FIP	P	2.5
167	FIP	P	0.25
154	FIP	P	0.25
153	FIP	P	0.25
149	FIP	P	0.025
149	FIP	P	0.025
157	FIP	P	0.025
106	FIP	P	0.0025
149	FIP	P	0.0025
168	FIP	P	0.0025
133	FIP	P	0.00025
136	FIP	P	0.00025
129	FIP	P	0.00025
129	FIP	P	0.000025
126	FIP	P	0.000025
109	FIP	P	0.000025
116	FIP	P	0.0000025
124	FIP	P	0.0000025
117	FIP	P	0.0000025
121	FIP	P	0.00000025
123	FIP	P	0.00000025
120	FIP	P	0.00000025
155	FIP	P	0
180	FIP	P	0
159	FIP	P	0
174	FIP	P	0
191	FIP	P	0
100	FIP	P	0
119	FIP	P	0
111	FIP	P	0
1476	FIP	N	250
1248	FIP	N	250
994	FIP	N	250
500	FIP	N	125
756	FIP	N	125
678	FIP	N	125
169	FIP	N	25
166	FIP	N	25
176	FIP	N	25
166	FIP	N	2.5
188	FIP	N	2.5
183	FIP	N	2.5
186	FIP	N	0.25
178	FIP	N	0.25
193	FIP	N	0.25
183	FIP	N	0.025
171	FIP	N	0.025
170	FIP	N	0.025
172	FIP	N	0.0025
165	FIP	N	0.0025
156	FIP	N	0.0025
161	FIP	N	0.00025
199	FIP	N	0.00025
158	FIP	N	0.00025
111	FIP	N	0.00000025
103	FIP	N	0.00000025
143	FIP	N	0.00000025
199	FIP	N	0
192	FIP	N	0
143	FIP	N	0
202	FIP	N	0
164	FIP	N	0
130	FIP	N	0
84	FIP	N	0
205	FIP	N	0
